287319,G6656300,2018-07-10 11:45:12.590
287319,G6656300,2018-07-10 11:45:13.387
287291,E4464200,2018-07-10 11:47:09.340
287299,G7647200,2018-07-10 11:53:40.010
287299,G7647200,2018-07-10 11:54:08.210
287299,G7647200,2018-07-10 11:54:39.010
287299,C4204900,2018-07-10 11:57:46.900
B000047026,C4254900,2018-07-10 12:00:03.700
B000047026,C4254900,2018-07-10 12:00:05.840
B000047026,C4254900,2018-07-10 12:00:08.090
B000046951,C4254800,2018-07-10 12:01:07.607
B000046951,C4294800,2018-07-10 12:01:24.567
B000046951,C4294800,2018-07-10 12:01:26.817
B000046951,C4294800,2018-07-10 12:01:28.237
B000046951,C4294800,2018-07-10 12:01:30.783
287149,E4494500,2018-07-10 12:05:52.110
287149,E4494400,2018-07-10 12:06:50.633
287149,E4494900,2018-07-10 12:08:07.687
287149,E4494900,2018-07-10 12:08:08.327
287149,E4494900,2018-07-10 12:08:08.890
287149,E4494900,2018-07-10 12:08:09.560
287149,E4494900,2018-07-10 12:08:25.420
287149,E4494900,2018-07-10 12:08:26.390
287149,E4494900,2018-07-10 12:08:36.437
287149,E4494900,2018-07-10 12:08:46.640
287149,D4354200,2018-07-10 12:11:07.457
287149,D4354200,2018-07-10 12:11:10.300
B000047034,E4404400,2018-07-10 12:13:30.967
B000047034,E4404400,2018-07-10 12:13:32.827
B000047034,E4404400,2018-07-10 12:13:36.927
287280,F5545600,2018-07-10 12:16:59.377
287280,MISC,2018-07-10 12:18:10.757
B000047032,C4254900,2018-07-10 12:20:00.910
B000047032,C4254900,2018-07-10 12:20:17.533
B000047021,C4294300,2018-07-10 12:21:39.310
B000047036,F7547700,2018-07-10 13:14:47.150
B000047036,C4204800,2018-07-10 13:16:47.633
B000047036,F4504700,2018-07-10 13:20:12.633
B000047036,F4504700,2018-07-10 13:20:13.477
B000047036,C4254200,2018-07-10 13:22:51.803
B000047036,C4254200,2018-07-10 13:22:53.240
B000047036,C4254200,2018-07-10 13:22:54.960
B000047036,C4254200,2018-07-10 13:23:02.027
B000047036,C4244800,2018-07-10 13:25:19.413
B000047042,C4244900,2018-07-10 13:27:46.110
B000047042,C4204901,2018-07-10 13:31:30.290
B000047042,C4204901,2018-07-10 13:31:46.303
B000047035,F4564800,2018-07-10 13:34:30.350
B000047035,F4564800,2018-07-10 13:35:31.530
287320,F4544400,2018-07-10 14:04:05.880
287320,E4404800,2018-07-10 14:09:26.153
287320,E4404800,2018-07-10 14:09:27.623
287320,E4404800,2018-07-10 14:09:29.910
287320,E4404800,2018-07-10 14:09:35.743
287330,C4254800,2018-07-10 14:12:54.710
287330,C4254800,2018-07-10 14:12:55.833
287330,C4254800,2018-07-10 14:12:57.573
287330,C4254800,2018-07-10 14:12:59.810
287328,C4254500,2018-07-10 14:15:42.443
287328,C4254500,2018-07-10 14:15:44.160
287232,E4444700,2018-07-10 14:22:19.620
B000047047,E4464700,2018-07-10 14:26:41.417
B000047047,E4464700,2018-07-10 14:27:03.783
B000047047,E4464600,2018-07-10 14:28:30.523
B000047046,F5555800,2018-07-10 14:32:29.903
B000047046,F5555700,2018-07-10 14:36:04.783
287289,E4494800,2018-07-10 14:42:19.693
287289,E4464700,2018-07-10 14:44:00.137
287289,E4464700,2018-07-10 14:44:15.120
287289,E4464400,2018-07-10 14:46:03.010
287289,E4464400,2018-07-10 14:46:17.527
286895,C4244900,2018-07-11 08:12:17.050
286895,F4564500,2018-07-11 08:14:17.510
286895,E5495700,2018-07-11 08:22:44.033
286895,G7607500,2018-07-11 08:28:07.030
286895,F8558000,2018-07-11 08:31:04.477
286895,F8558000,2018-07-11 08:31:23.930
286895,E4444200,2018-07-11 08:35:54.240
286895,F4594000,2018-07-11 08:41:32.690
286895,F4564800,2018-07-11 08:43:51.020
286895,F4564800,2018-07-11 08:44:08.137
287343,F6546500,2018-07-11 08:58:38.557
287343,F6546500,2018-07-11 08:58:57.320
287339,F8000000,2018-07-11 09:04:29.670
B000047055,C4244800,2018-07-11 09:06:44.530
B000047055,C4204901,2018-07-11 09:08:32.580
B000047049,C4244900,2018-07-11 09:10:42.760
B000047049,D4304500,2018-07-11 09:12:54.620
B000047049,D4304500,2018-07-11 09:13:08.657
B000047045,F4504700,2018-07-11 09:15:41.190
B000047045,F4504700,2018-07-11 09:16:23.277
B000047045,F4504700,2018-07-11 09:16:54.533
B000047045,F4504300,2018-07-11 09:18:05.737
B000047045,F4504300,2018-07-11 09:18:21.810
B000047045,F4504300,2018-07-11 09:18:56.790
B000047045,F4504300,2018-07-11 09:18:59.853
287340,F4564400,2018-07-11 09:24:25.980
B000047058,F4544900,2018-07-11 09:27:14.880
B000047058,F4544900,2018-07-11 09:28:04.537
287172,F4544800,2018-07-11 09:40:05.500
287172,F4544800,2018-07-11 09:40:20.000
287172,F4544800,2018-07-11 09:40:30.503
287172,F4544600,2018-07-11 09:41:22.073
287172,MISC,2018-07-11 09:42:14.830
287346,E4444200,2018-07-11 09:45:00.990
287365,G8608700,2018-07-11 09:47:54.157
287359,F4504900,2018-07-11 09:50:35.627
B000047051,E4404900,2018-07-11 09:52:22.123
B000047051,E4404900,2018-07-11 09:52:38.347
B000047051,E4444000,2018-07-11 09:53:42.780
B000047051,E4444000,2018-07-11 09:54:03.077
B000047051,F6556600,2018-07-11 09:55:58.653
B000047051,E4444100,2018-07-11 09:58:00.387
B000047058,D8348502,2018-07-11 10:24:18.340
B000047051,F6546500,2018-07-11 10:26:40.690
B000047051,F6546500,2018-07-11 10:28:02.783
B000047033,D4354700,2018-07-11 13:22:51.327
B000047033,D4354700,2018-07-11 13:23:42.973
B000046968-2,E4494900,2018-07-11 13:27:08.683
B000046968-2,E4494900,2018-07-11 13:27:20.577
B000046968-2,E4494400,2018-07-11 13:28:39.907
B000047074,E4464600,2018-07-11 13:31:17.010
287349,G7607700,2018-07-11 13:48:30.843
287349,G7607700,2018-07-11 13:48:44.377
287349,D4304801,2018-07-11 13:53:28.080
287349,D4304801,2018-07-11 13:53:35.167
287397,G4644000,2018-07-11 13:55:56.863
287397,G4644000,2018-07-11 13:56:02.777
B000047072,C4294700,2018-07-11 14:00:44.147
B000047072,C4294700,2018-07-11 14:01:01.253
B000047073,C4294600,2018-07-11 14:02:26.633
B000047073,F4544800,2018-07-11 14:05:10.980
B000047050,C4254700,2018-07-11 14:07:16.877
B000047050,C4254700,2018-07-11 14:07:42.883
B000047050,C4254900,2018-07-11 14:08:52.530
B000047050,C4254900,2018-07-11 14:09:06.423
B000047050,C4254900,2018-07-11 14:09:25.083
B000047050,C4254900,2018-07-11 14:09:38.470
B000047050,F7597300,2018-07-11 14:11:44.247
287276,C4204501,2018-07-11 14:23:10.697
287276,C4244200,2018-07-11 14:24:44.150
287276,G8658700,2018-07-11 14:29:01.040
287276,G6606900,2018-07-11 14:33:12.173
B000047054,F5555800,2018-07-11 14:39:32.337
B000047075,C4244900,2018-07-11 16:09:42.823
B000047075,C4244800,2018-07-11 16:10:35.330
B000047080,F4564600,2018-07-11 16:12:25.890
B000047080,F4564600,2018-07-11 16:12:45.627
B000047080,F4564600,2018-07-11 16:12:58.700
B000047080,F4564600,2018-07-11 16:13:16.570
287376,F8508400,2018-07-11 16:15:01.763
287376,F8508400,2018-07-11 16:15:12.577
B000047076,C4254800,2018-07-11 16:17:39.190
B000047076,C4254800,2018-07-11 16:17:46.523
B000047079,F6596200,2018-07-12 09:41:40.080
B000047082,C4294100,2018-07-12 09:44:34.720
B000047082,C4294100,2018-07-12 09:44:44.063
B000047082,C4294100,2018-07-12 09:44:59.143
B000047082,C4294100,2018-07-12 09:45:08.313
287428,C4294300,2018-07-12 09:48:04.860
287428,C4294300,2018-07-12 09:48:51.750
287428,C4294300,2018-07-12 09:49:07.770
287428,C4294300,2018-07-12 09:49:24.447
287428,C4294800,2018-07-12 10:19:12.347
287428,C4294800,2018-07-12 10:19:22.857
B000047086,E4494500,2018-07-12 10:21:13.743
287438,F4564600,2018-07-12 10:30:16.757
287438,F4564600,2018-07-12 10:30:34.677
287438,F4564600,2018-07-12 10:31:02.193
287454,G5605700,2018-07-12 10:43:32.840
287454,G5605700,2018-07-12 10:45:04.773
287454,E7407302,2018-07-12 10:50:32.223
B000047094,E4494900,2018-07-12 13:56:59.417
B000047094,F7507601,2018-07-12 14:00:02.727
B000047095,E4494900,2018-07-12 14:04:06.053
B000047095,E4494400,2018-07-12 14:04:57.940
B000047095,E4494400,2018-07-12 14:05:24.530
B000047095,F7547700,2018-07-12 14:20:37.147
287473,E4494800,2018-07-12 14:27:43.847
287473,E4494800,2018-07-12 14:27:59.270
287473,E4494800,2018-07-12 14:28:19.460
287473,E4494800,2018-07-12 14:28:33.527
287473,E4494800,2018-07-12 14:28:44.077
287473,E4494800,2018-07-12 14:30:06.723
