CUST_ORDER_ID,LOCATION_ID,PART_ID,TYPE,QTY,TRANSACTION_DATE,CREATE_DATE,USER_ID,PICK_HOUR,DAY_OF_WEEK,ZONE,AISLE_BIN,ORDER_SIZE,TOTAL_ORDER_QTY,PREV_LOCATION,NEXT_LOCATION,SECONDS_SINCE_LAST_PICK,LOCATION_RANK
015693,C4000000,1097062009,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 12:32:38.710,JUDER,12,3,C,4000000,4205,16646.00000000,D5000000,G7647900,149,6
015693,G7647900,1611301001,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 12:59:31.347,JUDER,12,3,G,7647900,4205,16646.00000000,C4000000,E7447903,1613,7
015693,E7447903,1096051009,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 13:01:34.370,JUDER,13,3,E,7447903,4205,16646.00000000,G7647900,E7447800,123,8
015693,E7447800,1096061009,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 13:02:49.380,JUDER,13,3,E,7447800,4205,16646.00000000,E7447903,D8398600,75,9
015693,D8398600,1098062009,O,3.00000000,2009-04-21 00:00:00.000,2009-04-21 13:05:37.453,JUDER,13,3,D,8398600,4205,16646.00000000,E7447800,C4000000,168,10
015763,C4000000,1030076001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 13:36:56.760,JUDER,13,3,C,4000000,4205,16646.00000000,D8398600,D5000000,1879,1
015763,D5000000,1087101001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 13:39:03.413,JUDER,13,3,D,5000000,4205,16646.00000000,C4000000,D7000000,127,2
015763,D7000000,1042001101,O,1.00000000,2009-04-21 00:00:00.000,2009-04-21 13:40:35.890,JUDER,13,3,D,7000000,4205,16646.00000000,D5000000,D7307800,92,3
015763,D7307800,1090163059,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 13:41:16.220,JUDER,13,3,D,7307800,4205,16646.00000000,D7000000,C4000000,41,4
015768,C4000000,1030076001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 13:45:55.483,JUDER,13,3,C,4000000,4205,16646.00000000,D7307800,E4000000,279,1
015768,E4000000,1035396101,O,1.00000000,2009-04-21 00:00:00.000,2009-04-21 13:47:19.790,JUDER,13,3,E,4000000,4205,16646.00000000,C4000000,D4000000,84,2
015768,D4000000,1083321001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 13:48:42.433,JUDER,13,3,D,4000000,4205,16646.00000000,E4000000,E4000000,83,3
015768,E4000000,1083311001,O,1.00000000,2009-04-21 00:00:00.000,2009-04-21 13:50:36.547,JUDER,13,3,E,4000000,4205,16646.00000000,D4000000,D5000000,114,4
